,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
10,641820,1000,3206829,Coco,100%,74%,"['email', 'phone']",Duinzigt,52.10297,4.32047,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Clothing storage: closet"", ""Extra pillows and blankets"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Private patio or balcony"", ""Nespresso machine"", ""Heating"", ""Smoke alarm"", ""Paid street parking off premises"", ""Refrigerator"", ""Paid parking lot on premises \u2013 1 space"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""Hot water kettle"", ""Shower gel"", ""Body soap"", ""TV with standard cable"", ""EV charger"", ""Single level home"", ""Long term stays allowed"", ""Hangers"", ""Dining table""]",$72.00,250
11,730922,1000,1003354,Paul,100%,90%,"['email', 'phone']",Schildersbuurt-West,52.07198,4.29595,Private room,,1.5 shared baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Shared hot tub"", ""Cooking basics"", ""Microwave"", ""Wifi"", ""Essentials"", ""Private patio or balcony"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Paid parking off premises"", ""Stove"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Shampoo"", ""Host greets you"", ""Hangers""]",$35.00,232
12,774806,1000,4069743,James,100%,69%,"['email', 'phone']",Koningsplein en omgeving,52.07722,4.28061,Entire home/apt,,1 bath,"[""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Shampoo"", ""Essentials"", ""Stove"", ""Oven"", ""Washer"", ""Heating"", ""Dishes and silverware"", ""TV"", ""Kitchen"", ""Coffee maker"", ""Hair dryer"", ""Refrigerator"", ""Cooking basics"", ""Dishwasher""]",$125.00,59
13,800960,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Rivierenbuurt-Zuid,52.07244,4.32545,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Microwave"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$244.00,178
14,819029,1000,541315,Arthur,100%,100%,"['email', 'phone', 'work_email']",Zuidwal,52.07425,4.31658,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Building staff"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Paid parking on premises"", ""Essentials"", ""Cable TV"", ""Private patio or balcony"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Free washer \u2013 In unit"", ""Dryer"", ""Stove"", ""Private entrance"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""First aid kit"", ""Fire extinguisher"", ""TV with standard cable"", ""EV charger"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$110.00,46
15,822901,1000,4320911,Willem,100%,0%,"['email', 'phone']",Vliegeniersbuurt,52.01254,4.35431,Entire home/apt,,1.5 baths,"[""Hot water"", ""Dishes and silverware"", ""Kitchen"", ""Crib"", ""Cooking basics"", ""Microwave"", ""Wifi"", ""Essentials"", ""Cable TV"", ""Oven"", ""Private patio or balcony"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Fire extinguisher"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Hangers""]",$185.00,130
16,857470,1000,300966,Elwin,100%,97%,"['email', 'phone', 'work_email']",Rivierenbuurt-Zuid,52.07246,4.32496,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Air conditioning"", ""Kitchen"", ""Dishes and silverware"", ""Crib"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Wifi"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Refrigerator"", ""Iron"", ""Security cameras on property"", ""Paid parking off premises"", ""Dryer"", ""Stove"", ""Gym"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""Elevator"", ""Shampoo"", ""TV with standard cable"", ""Single level home"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers""]",$251.00,173
17,886695,869,4701028,Renee,100%,,"['email', 'phone']",Binckhorst,52.07515,4.35066,Private room,,1 bath,"[""Hot water"", ""Bed linens"", ""Fire extinguisher"", ""Essentials"", ""Wifi"", ""Microwave"", ""Lock on bedroom door"", ""Washer"", ""Heating"", ""Smoke alarm"", ""Dishes and silverware"", ""TV"", ""Coffee maker"", ""Refrigerator"", ""Iron"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Hangers"", ""Patio or balcony"", ""Extra pillows and blankets""]",$12.00,10
18,901609,1000,4817186,Yolande,100%,90%,"['email', 'phone']",Kortenbos,52.07683,4.30513,Entire home/apt,,1 bath,"[""Hot water"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Dishes and silverware"", ""Kitchen"", ""Free dryer \u2013 In unit"", ""Crib"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Met vriesvak refrigerator"", ""Extra pillows and blankets"", ""Room-darkening shades"", ""Microwave"", ""Bathtub"", ""Essentials"", ""Cable TV"", ""Oven"", ""Outdoor dining area"", ""Private patio or balcony"", ""Long term stays allowed"", ""Cleaning before checkout"", ""Smoke alarm"", ""Bikes"", ""Iron"", ""Free washer \u2013 In unit"", ""Free parking garage on premises \u2013 1 space"", ""Children\u2019s dinnerware"", ""Clothing storage: closet and wardrobe"", ""HDTV with premium cable, standard cable"", ""Cleaning products"", ""Sound system with aux"", ""Twee pitten induction stove"", ""Private entrance"", ""Wine glasses"", ""Changing table"", ""Fast wifi \u2013 59 Mbps"", ""Coffee maker"", ""Hair dryer"", ""High chair"", ""Bed linens"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""Hot water kettle"", ""Host greets you"", ""Shower gel"", ""Board games"", ""Baking sheet"", ""Body soap"", ""Outdoor furniture"", ""Toaster"", ""Carbon monoxide alarm"", ""Portable fans"", ""Dishwasher"", ""Dining table"", ""Hangers"", ""Children\u2019s books and toys"", ""Central heating""]",$106.00,252
19,1006742,1000,5537414,Ingrid,100%,64%,"['email', 'phone']",Bloemenbuurt-Oost,52.07691,4.26241,Private room,,1 shared bath,"[""Hot water"", ""Dedicated workspace"", ""Dishes and silverware"", ""Kitchen"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Extra pillows and blankets"", ""Microwave"", ""Wifi"", ""Essentials"", ""Cable TV"", ""Oven"", ""Heating"", ""Smoke alarm"", ""Pocket wifi"", ""Refrigerator"", ""Iron"", ""Children\u2019s dinnerware"", ""Dryer"", ""Free parking on premises"", ""Stove"", ""Washer"", ""Coffee maker"", ""Hair dryer"", ""Bed linens"", ""First aid kit"", ""Fire extinguisher"", ""Shampoo"", ""Host greets you"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Long term stays allowed"", ""Hangers"", ""Children\u2019s books and toys""]",$39.00,135
