,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
10,636664,1000,462975,Els,100%,100%,"['email', 'phone']",Borgerhout Intra Muros Zuid,51.21618,4.43037,Entire home/apt,,1 bath,"[""Yamaha Bluetooth sound system"", ""Toaster"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Hot water"", ""Body soap"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Cleaning before checkout"", ""Heating"", ""Outdoor dining area"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Elevator"", ""Shower gel"", ""Paid street parking off premises"", ""Conditioner"", ""Essentials"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Laundromat nearby"", ""Smoke alarm"", ""Clothing storage: closet, walk-in closet, and wardrobe"", ""Bed linens"", ""Microwave"", ""Standalone high chair - available upon request"", ""Ethernet connection"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Board games"", ""Portable fans"", ""Hangers"", ""Mosquito net"", ""Baby bath"", ""Dining table"", ""Shampoo"", ""Wine glasses"", ""Freezer"", ""Fast wifi \u2013 273 Mbps"", ""Crib - always at the listing"", ""Pour-over coffee"", ""Baking sheet"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Combi microwave oven"", ""Cleaning products"", ""Security cameras on property"", ""Gas stainless steel gas stove"", ""Barbecue utensils"", ""Dishes and silverware"", ""Host greets you"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Outdoor furniture"", ""First aid kit""]",$120.00,101
11,639013,1000,3189018,Cathy,,0%,"['email', 'phone']",Borgerhout Intra Muros Noord,51.21748,4.4456,Private room,,1.5 shared baths,"[""Cooking basics"", ""Oven"", ""Smoke alarm"", ""Fire extinguisher"", ""Microwave"", ""Wifi"", ""Coffee maker"", ""Refrigerator"", ""Heating"", ""Stove"", ""Dishwasher"", ""Lock on bedroom door"", ""Backyard"", ""Iron"", ""Dishes and silverware"", ""Hangers"", ""Essentials"", ""Paid parking on premises"", ""Shampoo""]",$85.00,34
12,772842,1000,4050173,Daisy,100%,59%,"['email', 'phone']",Linkeroever,51.21775,4.38434,Entire home/apt,,1 bath,"[""Toaster"", ""Oven"", ""Long term stays allowed"", ""TV"", ""Hot water"", ""Hot water kettle"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Shower gel"", ""Paid street parking off premises"", ""Essentials"", ""Room-darkening shades"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Stainless steel gas stove"", ""Washer"", ""Bathtub"", ""Dining table"", ""Hangers"", ""Free street parking"", ""Shampoo"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Freezer"", ""Clothing storage"", ""Cooking basics"", ""Refrigerator"", ""Coffee maker"", ""Cleaning products"", ""Dishes and silverware"", ""Host greets you"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Wifi""]",$125.00,72
13,778043,742,1735092,Marc & Elizabeth,88%,100%,"['email', 'phone']",Stadspark,51.20399,4.41249,Entire home/apt,,1 bath,"[""Toaster"", ""Hot water kettle"", ""Hot water"", ""Body soap"", ""Extra pillows and blankets"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Room-darkening shades"", ""Private entrance"", ""Nespresso machine"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Ethernet connection"", ""Stove"", ""Dining table"", ""Hangers"", ""Shampoo"", ""Mini fridge"", ""Paid parking off premises"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Baking sheet"", ""Cooking basics"", ""Refrigerator"", ""Coffee maker"", ""Cleaning products"", ""Dishes and silverware"", ""Host greets you"", ""Wifi""]",$74.00,81
14,789555,1000,3185214,Annemie,100%,80%,"['email', 'phone']",Centraal Station,51.2117,4.42665,Entire home/apt,,1.5 baths,"[""Crib"", ""Oven"", ""Long term stays allowed"", ""Cable TV"", ""Hot water"", ""High chair"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Room-darkening shades"", ""Private entrance"", ""Lockbox"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Babysitter recommendations"", ""Children\u2019s books and toys"", ""Stove"", ""Hangers"", ""Baby bath"", ""Shampoo"", ""Paid parking off premises"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Patio or balcony"", ""Luggage dropoff allowed"", ""Wifi""]",$93.00,50
15,791792,998,3424990,Tim,100%,40%,"['email', 'phone', 'work_email']",Zuid,51.20639,4.38707,Entire home/apt,,1 bath,"[""Free dryer \u2013 In unit"", ""Toaster"", ""Stainless steel oven"", ""Long term stays allowed"", ""Free washer \u2013 In unit"", ""Hot water"", ""Body soap"", ""Hot water kettle"", ""Extra pillows and blankets"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Elevator"", ""Shower gel"", ""Conditioner"", ""Essentials"", ""Room-darkening shades"", ""Changing table"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Ethernet connection"", ""Induction stove"", ""Bathtub"", ""Board games"", ""Portable fans"", ""Hangers"", ""Mosquito net"", ""Sound system"", ""Dining table"", ""55\"" HDTV with Netflix"", ""Shampoo"", ""Wine glasses"", ""Game console: PS3"", ""Freezer"", ""Baking sheet"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Cleaning products"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Wifi"", ""First aid kit""]",$90.00,6
16,813969,1000,4277604,Sarah,100%,96%,"['email', 'phone', 'work_email']",Sint-Andries,51.21347,4.39125,Entire home/apt,,1.5 baths,"[""Crib"", ""Oven"", ""Long term stays allowed"", ""Cable TV"", ""Hot water"", ""High chair"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Dryer"", ""Hair dryer"", ""Essentials"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Nespresso machine"", ""Smoke alarm"", ""Microwave"", ""Babysitter recommendations"", ""Washer"", ""Children\u2019s books and toys"", ""Stove"", ""Bathtub"", ""Hangers"", ""Sound system"", ""Paid parking off premises"", ""Baby monitor"", ""Carbon monoxide alarm"", ""Indoor fireplace"", ""Keypad"", ""50\"" HDTV with standard cable, Chromecast, Netflix"", ""BBQ grill"", ""Air conditioning"", ""Waterfront"", ""Pack \u2019n play/Travel crib"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Security cameras on property"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Wifi"", ""First aid kit""]",$236.00,102
17,891884,669,234077,Karin,100%,96%,"['email', 'phone']",Historisch Centrum,51.218575,4.398631,Hotel room,,1 private bath,"[""Long term stays allowed"", ""Hot water kettle"", ""Hot water"", ""Cable TV"", ""Heating"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""Essentials"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Molton Brown shampoo"", ""Hangers"", ""Mini fridge"", ""Paid parking off premises"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Safe"", ""Molton Brown body soap"", ""TV with Chromecast, standard cable"", ""AC - split type ductless system"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Security cameras on property"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Wifi""]",$177.00,3
18,891907,1000,234077,Karin,100%,96%,"['email', 'phone']",Historisch Centrum,51.218575,4.398631,Entire home/apt,,1.5 baths,"[""Toaster"", ""Oven"", ""Long term stays allowed"", ""Cable TV"", ""Hot water"", ""Hot water kettle"", ""Hot tub"", ""Heating"", ""Dishwasher"", ""Iron"", ""Kitchen"", ""Hair dryer"", ""50\"" TV with Chromecast, standard cable"", ""Shower gel"", ""Essentials"", ""Private entrance"", ""Laundromat nearby"", ""Smoke alarm"", ""Microwave"", ""Bed linens"", ""Stove"", ""Bathtub"", ""Molton Brown shampoo"", ""Portable fans"", ""Dining table"", ""Hangers"", ""Record player"", ""Mini fridge"", ""Clothing storage: closet"", ""Paid parking off premises"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Safe"", ""Molton Brown body soap"", ""AC - split type ductless system"", ""Baking sheet"", ""Cooking basics"", ""Dedicated workspace"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Security cameras on property"", ""Bluetooth sound system"", ""Dishes and silverware"", ""Luggage dropoff allowed"", ""Private patio or balcony"", ""Wifi""]",$204.00,15
19,959200,1000,4715596,Caroline & Klaas,100%,88%,"['email', 'phone']",Borgerhout Intra Muros Noord,51.21596,4.43764,Entire home/apt,,1.5 baths,"[""Oven"", ""Long term stays allowed"", ""Hot water kettle"", ""Hot water"", ""Body soap"", ""Shared patio or balcony"", ""Extra pillows and blankets"", ""Kitchen"", ""Trash compactor"", ""Shared fenced garden or backyard"", ""Shower gel"", ""Paid street parking off premises"", ""Essentials"", ""Private entrance"", ""Laundromat nearby"", ""Smoke alarm"", ""Bed linens"", ""Clothing storage: dresser"", ""Stove"", ""Bathtub"", ""Dining table"", ""Hangers"", ""Record player"", ""Shampoo"", ""Wine glasses"", ""Carbon monoxide alarm"", ""Freezer"", ""Free washer \u2013 In building"", ""BBQ grill"", ""Baking sheet"", ""Outdoor furniture"", ""Cooking basics"", ""Fire extinguisher"", ""Refrigerator"", ""Coffee maker"", ""Cleaning products"", ""Dishes and silverware"", ""Host greets you"", ""Luggage dropoff allowed"", ""Ping pong table"", ""Central heating"", ""Drying rack for clothing"", ""Wifi"", ""First aid kit""]",$85.00,67
