,id,len_description,host_id,host_name,host_response_rate,host_acceptance_rate,host_verifications,neighbourhood_cleansed,latitude,longitude,room_type,bathrooms,bathrooms_text,amenities,price,number_of_reviews
87,6279703,494,9627775,Maison MIELOU,100%,100%,"['email', 'phone', 'work_email']",Sint Amandsberg,51.06104,3.74841,Private room,,1 private bath,"[""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Crib"", ""Hair dryer"", ""Long term stays allowed"", ""Wifi"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Carbon monoxide alarm"", ""Heating""]",$140.00,12
88,6290026,353,9627775,Maison MIELOU,100%,100%,"['email', 'phone', 'work_email']",Sint Amandsberg,51.06053,3.7474,Entire home/apt,,1.5 baths,"[""Shampoo"", ""Hot water"", ""Smoke alarm"", ""Kitchen"", ""Crib"", ""Hair dryer"", ""Long term stays allowed"", ""Wifi"", ""Fire extinguisher"", ""Hangers"", ""Essentials"", ""Carbon monoxide alarm"", ""Heating""]",$140.00,14
89,6441548,1000,33631603,Peter,100%,100%,"['email', 'phone', 'work_email']",Binnenstad,51.04567,3.73233,Entire home/apt,,2 baths,"[""Luggage dropoff allowed"", ""Shampoo"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Cable TV"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Wifi"", ""Security cameras on property"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Private patio or balcony"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$100.00,71
90,6517280,217,4817718,Stijn,,100%,"['email', 'phone', 'work_email']",Watersportbaan - Ekkergem,51.05006,3.71056,Entire home/apt,,1 bath,"[""Elevator"", ""Luggage dropoff allowed"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Washer"", ""Bed linens"", ""Carbon monoxide alarm"", ""Cable TV"", ""Extra pillows and blankets"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Patio or balcony"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""Long term stays allowed"", ""Paid parking off premises"", ""Stove"", ""Essentials"", ""Microwave"", ""Heating"", ""Cleaning before checkout"", ""Backyard"", ""Private entrance"", ""Fire extinguisher"", ""Dishes and silverware""]",$70.00,47
91,6807238,708,5050531,Bart,100%,73%,"['email', 'phone']",Sluizeken - Tolhuis - Ham,51.06078,3.72914,Entire home/apt,,1.5 baths,"[""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Kitchen"", ""Backyard"", ""Wifi"", ""Dishes and silverware"", ""Heating"", ""Carbon monoxide alarm""]",$90.00,53
92,6810537,1000,35652922,Thomas,100%,56%,"['email', 'phone']",Ledeberg,51.03308,3.74379,Entire home/apt,,1.5 baths,"[""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Changing table"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Crib"", ""Hangers"", ""Washer"", ""Bed linens"", ""Pack \u2019n play/Travel crib"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Board games"", ""Cable TV"", ""Extra pillows and blankets"", ""Pocket wifi"", ""Babysitter recommendations"", ""Laundromat nearby"", ""Iron"", ""Hot water"", ""TV with standard cable"", ""Patio or balcony"", ""Wifi"", ""Baby safety gates"", ""Baby monitor"", ""Host greets you"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Stove"", ""Backyard"", ""Room-darkening shades"", ""High chair"", ""Wine glasses"", ""Children\u2019s dinnerware"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Bathtub"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$65.00,34
93,6918908,1000,10349286,Emilia,100%,82%,"['email', 'phone']",Zwijnaarde,50.99913,3.71605,Entire home/apt,,1 bath,"[""Free parking on premises"", ""Hot water"", ""Smoke alarm"", ""Essentials"", ""Kitchen"", ""Private entrance"", ""Host greets you"", ""Long term stays allowed"", ""Wifi"", ""Hangers"", ""Heating"", ""Washer"", ""Free street parking"", ""Carbon monoxide alarm""]",$58.00,42
94,6951050,1000,15300260,"Aron, Dave & Myriam",100%,100%,"['email', 'phone']",Rabot  - Blaisantvest,51.06098,3.71502,Entire home/apt,,1.5 baths,"[""Elevator"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Shampoo"", ""Hot water kettle"", ""Smoke alarm"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Conditioner"", ""Hangers"", ""Dedicated workspace"", ""Bed linens"", ""Building staff"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Extra pillows and blankets"", ""Babysitter recommendations"", ""Iron"", ""Hot water"", ""Wifi"", ""Paid parking lot off premises"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Freezer"", ""Long term stays allowed"", ""Single level home"", ""Outlet covers"", ""Essentials"", ""Microwave"", ""Stove"", ""TV"", ""Shower gel"", ""Ethernet connection"", ""Paid parking garage on premises"", ""Central heating"", ""Clothing storage: wardrobe, closet, and dresser"", ""Toaster"", ""Room-darkening shades"", ""Private entrance"", ""Wine glasses"", ""Outdoor furniture"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Children\u2019s books and toys"", ""Body soap"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor dining area"", ""EV charger"", ""Mini fridge""]",$83.00,104
95,7022581,670,36808401,Tom,100%,95%,"['email', 'phone', 'work_email']",Sint Amandsberg,51.070702,3.760874,Entire home/apt,,2 baths,"[""Cleaning products"", ""Hot water kettle"", ""Fast wifi \u2013 558 Mbps"", ""Refrigerator"", ""Dining table"", ""Oven"", ""Private garden or backyard"", ""Dedicated workspace"", ""Pack \u2019n play/Travel crib"", ""Dishwasher"", ""Board games"", ""Free parking on premises"", ""Iron"", ""Hot water"", ""Indoor fireplace"", ""BBQ grill"", ""32\"" TV with Chromecast, Netflix"", ""Free washer \u2013 In unit"", ""Free dryer \u2013 In unit"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Keypad"", ""Central air conditioning"", ""Essentials"", ""Heating"", ""Microwave"", ""Wine glasses"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Bathtub"", ""Body soap"", ""Coffee maker"", ""Dishes and silverware"", ""Outdoor dining area""]",$200.00,2
96,7378878,1000,138572,Tom,75%,0%,"['email', 'phone']",Binnenstad,51.04386,3.72971,Entire home/apt,,1 bath,"[""Shampoo"", ""Smoke alarm"", ""Refrigerator"", ""Oven"", ""Hangers"", ""Washer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Iron"", ""Hot water"", ""Patio or balcony"", ""Wifi"", ""Kitchen"", ""Cooking basics"", ""First aid kit"", ""Hair dryer"", ""Long term stays allowed"", ""Dryer"", ""Paid parking off premises"", ""Essentials"", ""Heating"", ""Microwave"", ""Stove"", ""Room-darkening shades"", ""Children\u2019s dinnerware"", ""Children\u2019s books and toys"", ""Bathtub"", ""Fire extinguisher"", ""Coffee maker"", ""Dishes and silverware""]",$200.00,9
